,day_cnt_raw,day_cnt_cumu,week_cnt_raw,week_cnt_cumu
0,14,14,35,35
1,8,22,35,35
2,4,26,35,35
3,0,26,35,35
4,0,26,35,35
5,0,26,35,35
6,9,35,35,35
7,0,35,17,52
8,0,35,17,52
9,11,46,17,52
10,0,46,17,52
11,0,46,17,52
12,0,46,17,52
13,6,52,17,52
14,3,55,19,71
15,0,55,19,71
16,0,55,19,71
17,0,55,19,71
18,0,55,19,71
19,5,60,19,71
20,11,71,19,71
21,0,71,30,101
22,14,85,30,101
23,7,92,30,101
24,9,101,30,101
25,0,101,30,101
26,0,101,30,101
27,0,101,30,101
28,0,101,8,109
29,0,101,8,109
30,2,103,8,109
31,0,103,8,109
32,0,103,8,109
33,3,106,8,109
34,3,109,8,109
35,0,109,12,121
36,4,113,12,121
37,0,113,12,121
38,0,113,12,121
39,2,115,12,121
40,0,115,12,121
41,6,121,12,121
42,0,121,0,121
43,0,121,0,121
44,0,121,0,121
45,0,121,0,121
46,0,121,0,121
47,0,121,0,121
48,0,121,0,121
49,6,127,69,190
50,0,127,69,190
51,36,163,69,190
52,0,163,69,190
53,11,174,69,190
54,0,174,69,190
55,16,190,69,190
56,0,190,14,204
57,0,190,14,204
58,0,190,14,204
59,0,190,14,204
60,0,190,14,204
61,10,200,14,204
62,4,204,14,204
63,26,230,67,271
64,10,240,67,271
65,8,248,67,271
66,8,256,67,271
67,3,259,67,271
68,7,266,67,271
69,5,271,67,271
70,3,274,6,277
71,2,276,6,277
72,0,276,6,277
73,1,277,6,277
74,0,277,6,277
